Product,Quantity,UnitPrice,PaymentMethod,OrderStatus,ItemsInCart,CouponCode,ReferralSource,TotalPrice,Year,Month,DayOfWeek,IsWeekend,FraudScore_Proxy,FraudFlag
Monitor,5,570.62,Debit Card,Shipped,7,SAVE10,Instagram,2853.1,2023,1,2,0,3,0
Phone,2,151.35,Online,Shipped,3,SAVE10,Referral,302.7,2024,8,4,0,1,0
Tablet,5,550.68,Credit Card,Cancelled,8,FREESHIP,Email,2753.4,2024,2,1,0,4,1
Chair,1,273.19,Debit Card,Returned,5,SAVE10,Facebook,273.19,2023,10,6,1,1,0
Printer,4,626.01,Online,Delivered,8,SAVE10,Email,2504.04,2025,5,3,0,3,0
Phone,2,245.86,Credit Card,Shipped,4,SAVE10,Instagram,491.72,2023,10,0,0,0,0
Laptop,1,664.42,Gift Card,Returned,6,SAVE10,Facebook,664.42,2025,6,1,0,2,0
Monitor,5,149.55,Cash,Shipped,9,FREESHIP,Facebook,747.75,2023,5,4,0,2,0
Phone,2,134.28,Gift Card,Cancelled,2,,Email,268.56,2025,4,2,0,3,0
Desk,4,509.38,Credit Card,Shipped,6,SAVE10,Google,2037.52,2023,11,1,0,0,0
Tablet,5,625.97,Credit Card,Returned,9,WINTER15,Instagram,3129.85,2023,12,4,0,5,1
Monitor,3,49.14,Online,Returned,7,SAVE10,Email,147.42,2024,2,5,1,2,0
Monitor,2,180.5,Debit Card,Pending,6,FREESHIP,Referral,361.0,2024,10,1,0,0,0
Laptop,3,201.49,Credit Card,Returned,4,FREESHIP,Facebook,604.47,2023,8,2,0,1,0
Tablet,2,393.33,Debit Card,Pending,3,SAVE10,Instagram,786.66,2023,3,0,0,0,0
Printer,1,473.96,Cash,Delivered,3,,Google,473.96,2023,7,0,0,1,0
Printer,2,533.81,Credit Card,Pending,3,FREESHIP,Email,1067.62,2023,1,1,0,0,0
Tablet,1,423.4,Debit Card,Shipped,3,,Referral,423.4,2024,3,5,1,1,0
Desk,1,431.44,Gift Card,Pending,3,SAVE10,Facebook,431.44,2025,3,2,0,1,0
Monitor,5,224.0,Cash,Returned,9,SAVE10,Google,1120.0,2023,1,0,0,3,0
Chair,5,62.51,Cash,Pending,9,WINTER15,Instagram,312.55,2023,5,0,0,2,0
Monitor,4,342.95,Cash,Delivered,6,,Google,1371.8,2024,11,6,1,1,0
Monitor,2,49.62,Online,Pending,2,SAVE10,Google,99.24,2023,1,6,1,1,0
Phone,4,273.25,Debit Card,Cancelled,5,FREESHIP,Referral,1093.0,2025,4,2,0,1,0
Laptop,2,230.95,Online,Delivered,3,WINTER15,Referral,461.9,2024,10,2,0,1,0
Monitor,1,399.98,Debit Card,Delivered,3,WINTER15,Email,399.98,2024,7,2,0,0,0
Laptop,5,59.55,Online,Delivered,6,,Referral,297.75,2024,3,2,0,3,0
Printer,1,472.74,Online,Shipped,6,WINTER15,Google,472.74,2024,2,3,0,1,0
Phone,4,160.07,Online,Pending,5,,Email,640.28,2023,11,1,0,2,0
Desk,3,423.53,Credit Card,Delivered,6,SAVE10,Referral,1270.59,2024,9,4,0,0,0
Monitor,2,426.7,Online,Pending,5,SAVE10,Referral,853.4,2025,3,5,1,1,0
Chair,3,500.08,Debit Card,Returned,6,,Facebook,1500.24,2023,6,4,0,2,0
Tablet,5,536.72,Cash,Delivered,10,,Email,2683.6,2023,5,0,0,5,1
Chair,1,162.77,Online,Cancelled,4,WINTER15,Facebook,162.77,2023,6,0,0,2,0
Chair,4,576.52,Credit Card,Pending,5,WINTER15,Facebook,2306.08,2023,1,5,1,0,0
Monitor,2,465.15,Online,Shipped,2,SAVE10,Facebook,930.3,2024,12,5,1,1,0
Laptop,2,534.43,Debit Card,Pending,5,,Facebook,1068.86,2025,5,3,0,1,0
Laptop,2,76.74,Cash,Returned,7,SAVE10,Instagram,153.48,2024,10,0,0,1,0
Laptop,1,245.89,Debit Card,Delivered,3,SAVE10,Google,245.89,2024,12,3,0,0,0
Printer,3,256.46,Credit Card,Delivered,4,SAVE10,Referral,769.3799999999999,2025,2,3,0,0,0
Desk,2,344.02,Online,Delivered,4,FREESHIP,Instagram,688.04,2023,8,6,1,1,0
Monitor,3,611.45,Gift Card,Pending,4,FREESHIP,Instagram,1834.35,2023,12,1,0,1,0
Printer,2,151.66,Cash,Cancelled,6,,Instagram,303.32,2024,5,0,0,2,0
Chair,3,499.21,Online,Cancelled,8,,Instagram,1497.63,2023,12,3,0,3,0
Phone,2,550.18,Gift Card,Returned,3,FREESHIP,Referral,1100.36,2025,4,0,0,2,0
Chair,1,317.25,Debit Card,Returned,1,SAVE10,Facebook,317.25,2024,2,5,1,1,0
Monitor,4,550.14,Debit Card,Pending,4,FREESHIP,Instagram,2200.56,2024,6,2,0,0,0
Desk,2,209.94,Credit Card,Returned,3,FREESHIP,Email,419.88,2023,7,2,0,1,0
Monitor,2,80.77,Debit Card,Shipped,4,,Google,161.54,2023,8,5,1,1,0
Printer,1,30.44,Credit Card,Shipped,1,SAVE10,Email,30.44,2023,10,5,1,0,0
Tablet,1,179.22,Online,Cancelled,6,FREESHIP,Instagram,179.22,2023,7,0,0,2,0
Tablet,1,388.33,Cash,Returned,2,SAVE10,Facebook,388.33,2024,12,0,0,1,0
Tablet,1,586.44,Online,Returned,5,SAVE10,Facebook,586.44,2024,9,6,1,2,0
Phone,4,488.78,Online,Returned,5,FREESHIP,Google,1955.12,2024,5,5,1,2,0
Chair,1,280.25,Online,Pending,5,WINTER15,Email,280.25,2025,3,3,0,1,0
Printer,3,344.4,Online,Cancelled,3,,Facebook,1033.2,2025,6,1,0,3,0
Tablet,3,479.21,Cash,Cancelled,5,WINTER15,Referral,1437.63,2023,5,6,1,1,0
Printer,5,314.27,Cash,Returned,6,SAVE10,Instagram,1571.35,2023,1,6,1,2,0
Phone,4,474.69,Gift Card,Cancelled,6,SAVE10,Google,1898.76,2023,1,6,1,2,0
Chair,4,593.27,Online,Shipped,5,,Facebook,2373.08,2024,9,2,0,4,1
Desk,1,417.1,Debit Card,Returned,3,FREESHIP,Referral,417.1,2024,8,2,0,1,0
Desk,4,122.2,Cash,Delivered,7,FREESHIP,Facebook,488.8,2024,3,6,1,0,0
Desk,2,43.15,Debit Card,Pending,3,WINTER15,Email,86.3,2023,8,1,0,0,0
Chair,1,564.86,Debit Card,Shipped,6,WINTER15,Referral,564.86,2025,2,6,1,0,0
Printer,3,130.61,Debit Card,Cancelled,4,FREESHIP,Facebook,391.83,2025,6,2,0,1,0
Monitor,5,81.7,Credit Card,Delivered,6,,Instagram,408.5,2023,12,5,1,2,0
Chair,5,127.18,Cash,Cancelled,9,SAVE10,Referral,635.9000000000001,2024,11,4,0,3,0
Printer,4,12.1,Debit Card,Cancelled,8,,Google,48.4,2024,12,0,0,2,0
Chair,3,490.92,Credit Card,Pending,5,FREESHIP,Email,1472.76,2023,12,0,0,0,0
Monitor,3,478.65,Online,Shipped,4,,Referral,1435.95,2023,5,3,0,2,0
Desk,1,629.21,Gift Card,Pending,2,FREESHIP,Instagram,629.21,2023,5,4,0,1,0
Monitor,3,434.45,Credit Card,Pending,4,,Referral,1303.35,2025,6,1,0,1,0
Tablet,4,589.44,Gift Card,Returned,5,,Facebook,2357.76,2024,12,6,1,5,1
Monitor,4,433.45,Gift Card,Cancelled,4,,Facebook,1733.8,2023,5,2,0,3,0
Phone,5,90.87,Cash,Pending,5,,Instagram,454.35,2023,6,5,1,2,0
Tablet,3,398.17,Debit Card,Delivered,5,SAVE10,Email,1194.51,2023,9,1,0,0,0
Laptop,4,382.88,Cash,Cancelled,6,WINTER15,Email,1531.52,2024,3,6,1,1,0
Phone,1,583.18,Credit Card,Returned,5,,Google,583.18,2024,5,4,0,2,0
Printer,4,175.36,Debit Card,Delivered,4,FREESHIP,Instagram,701.44,2024,8,1,0,0,0
Tablet,2,311.91,Online,Shipped,2,,Facebook,623.82,2025,3,0,0,2,0
Phone,3,589.56,Online,Returned,6,,Facebook,1768.68,2023,6,1,0,3,0
Monitor,2,394.3,Cash,Shipped,6,FREESHIP,Email,788.6,2023,6,3,0,0,0
Tablet,4,565.2,Debit Card,Shipped,9,SAVE10,Google,2260.8,2024,1,4,0,1,0
Laptop,4,540.41,Credit Card,Cancelled,6,,Referral,2161.64,2023,8,1,0,2,0
Monitor,2,165.49,Online,Shipped,4,WINTER15,Instagram,330.98,2023,8,0,0,1,0
Tablet,3,146.73,Cash,Delivered,8,FREESHIP,Email,440.1899999999999,2024,9,0,0,0,0
Printer,5,643.03,Online,Cancelled,5,FREESHIP,Referral,3215.15,2024,6,2,0,5,1
Tablet,3,225.11,Cash,Shipped,4,SAVE10,Facebook,675.33,2024,10,3,0,0,0
Desk,3,114.81,Gift Card,Cancelled,7,,Google,344.43,2025,6,3,0,3,0
Printer,5,455.33,Credit Card,Cancelled,8,FREESHIP,Google,2276.65,2025,2,1,0,2,0
Chair,4,182.08,Gift Card,Delivered,4,SAVE10,Email,728.32,2023,9,0,0,1,0
Laptop,5,492.75,Cash,Shipped,6,WINTER15,Referral,2463.75,2023,3,2,0,3,0
Printer,4,48.61,Online,Shipped,7,FREESHIP,Facebook,194.44,2024,6,0,0,1,0
Desk,4,431.01,Credit Card,Returned,7,,Referral,1724.04,2023,1,5,1,2,0
Chair,1,531.18,Gift Card,Returned,6,WINTER15,Instagram,531.18,2023,2,5,1,2,0
Printer,4,117.51,Debit Card,Returned,7,,Referral,470.04,2023,3,4,0,2,0
Phone,2,232.83,Gift Card,Delivered,7,,Instagram,465.66,2024,6,5,1,2,0
Tablet,5,619.52,Debit Card,Pending,9,,Email,3097.6,2025,1,1,0,5,1
Printer,2,228.54,Debit Card,Pending,3,,Email,457.08,2023,1,5,1,1,0
Printer,1,201.58,Debit Card,Cancelled,2,WINTER15,Email,201.58,2025,4,5,1,1,0
Phone,3,664.79,Online,Delivered,6,,Facebook,1994.37,2023,2,4,0,2,0
Printer,1,381.02,Cash,Shipped,6,,Google,381.02,2023,11,5,1,1,0
Laptop,2,70.34,Gift Card,Cancelled,3,FREESHIP,Email,140.68,2023,3,2,0,2,0
Phone,4,218.43,Credit Card,Cancelled,9,SAVE10,Email,873.72,2025,1,5,1,2,0
Phone,1,582.04,Gift Card,Delivered,1,FREESHIP,Email,582.04,2024,7,1,0,1,0
Printer,3,185.4,Gift Card,Cancelled,7,,Facebook,556.2,2024,10,3,0,3,0
Desk,3,465.05,Credit Card,Cancelled,3,SAVE10,Email,1395.15,2023,9,4,0,1,0
Printer,5,670.75,Gift Card,Shipped,8,FREESHIP,Instagram,3353.75,2023,3,0,0,4,1
Laptop,5,48.38,Gift Card,Delivered,9,WINTER15,Email,241.9,2024,12,5,1,3,0
Desk,3,592.87,Gift Card,Shipped,3,FREESHIP,Referral,1778.61,2023,9,6,1,1,0
Tablet,1,220.77,Gift Card,Pending,5,FREESHIP,Instagram,220.77,2024,4,6,1,1,0
Desk,3,309.22,Online,Cancelled,7,FREESHIP,Google,927.6600000000001,2025,5,2,0,2,0
Monitor,1,410.6,Online,Cancelled,2,WINTER15,Referral,410.6,2023,1,6,1,2,0
Laptop,5,190.08,Cash,Shipped,9,FREESHIP,Instagram,950.4000000000001,2024,1,2,0,2,0
Monitor,5,498.48,Online,Pending,8,SAVE10,Google,2492.4,2025,1,0,0,4,1
Phone,5,374.99,Online,Shipped,9,SAVE10,Facebook,1874.95,2023,11,0,0,3,0
Printer,4,291.35,Credit Card,Cancelled,6,WINTER15,Facebook,1165.4,2023,3,6,1,1,0
Tablet,1,535.5,Gift Card,Cancelled,5,WINTER15,Referral,535.5,2023,3,2,0,2,0
